reviews,rating,cleaned_review
love the privacy to listen to my music. sound is great,positive,privacy listen music sound great
calidad de sonido,positive,calidad de sonido
missing,positive,missing
two thumbs up multiexclamation  excellent product,positive,two thumb multiexclamation excellent product
the sound quality is /. noise cancellation /.,positive,sound quality noise cancellation
good item) happy),positive,good item happy
i was initially very skeptical about buying an apple product off of amazon but; surprisingly they arrived in wonderful condition and work very well.,positive,initially skeptical buying product amazon surprisingly arrived wonderful condition work well
great purchase for the sale price,positive,great purchase sale price
the airpods are lightweight and comfortable,positive,lightweight comfortable
"she lost the right one, she only had them for  month",positive,lost month
daughter suggested that i get a pair. easy set up. great sound. great price.,positive,daughter suggested get pair easy set great sound great price
"i love the nd generation airpods, ive had experience with the newer generations the rd generation for example and they do not stay in my ear when im exercising. i almost lost them more than once but my husband loves them so i gave him the newer generation airpods.",positive,nd generation ive experience newer generation rd generation example stay ear im exercising almost lost husband love gave newer generation
"its a legit apple product. you should know by now what is expectable of them. sound quality, battery life and durability is as expected but you might be able to get other earphones of better quality with the same price range. just make sure that it will be compatible with your device. would have given  stars if only apple products arent overpriced",positive,legit product know expectable sound quality battery life durability expected might able get earphone better quality price range make sure compatible device would given star product arent overpriced
"i do not dislike, the air pods are very convenient",positive,dislike air pod convenient
excellent headphones for the price if you have an apple devices and do not need noise cacellation.,positive,excellent headphone price device need noise cacellation
at work (in a car shop with loud noises) the headphones work great and keep my ears protected from the loud sounds.,positive,work car shop loud noise headphone work great keep ear protected loud sound
"airpods one of them is not working, i can only hear music but not thru phone calls.",positive,working hear music thru phone call
received the same day. great quality. my first pair i bought at walmart and i was worried about buying them on amazon but they are great. if you need them buy them.,positive,received day great quality first pair bought walmart worried buying amazon great need buy
"it is  still working pretty good even if it is not the latest model, i recommend this product for people who what to save some money.",positive,still working pretty good even latest model recommend product people save money
sturdy and stylish,positive,sturdy stylish
hand free,positive,hand free
i love it. easy to setup and use,positive,easy setup use
nothing to dislike. just a great product,positive,nothing dislike great product
for sound quality they seem about the same as any other regular set of earbuds. but glad they werent fake :) i got them when they were at a discounted price as well so that was cool too,positive,sound quality seem regular set earbuds glad werent fake got discounted price well cool
just what you expect from apple. really good imo,positive,expect really good imo
no,positive,
"item came in time, love these things!",positive,item came time thing
they are pretty good for my first pair,positive,pretty good first pair
the best purchase ever battery life is amazing sound is perfect and super discreet multistop  love it,positive,best purchase ever battery life amazing sound perfect super discreet multistop
"works well, not sure how it could be one size fits all, but it is. great headphones.",positive,work well sure could size fit great headphone
"i was reluctant to spend this much on a non-necessity for myself but i am so glad that i did. i listen to podcasts all day at work and only wear one headphone so i am still able to communicate. i am on my feet all day running around. i used to wear corded headphones and would snag the cord if it was popping out of my shirt and it would rip the bud out of my ear and i would go through sets quickly.now that i have these i am able to leave one in the case and switch them out as one dies so there is always one charged. the charge lasts about  hours  per bud and between the buds and the case, i am only plugging them in to charge about every  days. with these i am able to set up a queue of my podcasts and keep my phone in my desk all day. i have the double tap feature set up to pause on both so i can easily stop my podcasts to have a conversation. i love not having my phone on me or cords hanging from me. they sound great and i cant think of a single issue ive had with them over the past  or so months. maybe there are more affordable versions but so far i am loving these. i would highly recommend them and cant imagine how the newer/more expensive versions could be any better :)",positive,reluctant spend much nonnecessity glad listen podcasts day work wear headphone still able communicate foot day running around used wear corded headphone would snag cord popping shirt would rip bud ear would go set quicklynow able leave case switch dy always charged charge last hour per bud bud case plugging charge every day able set queue podcasts keep phone desk day double tap feature set pause easily stop podcasts conversation phone cord hanging sound great cant think single issue ive past month maybe affordable version far loving would highly recommend cant imagine newermore expensive version could better
easy to use and battery life is great!,positive,easy use battery life great
es perfecto le dura mucho la carga y con tan solo meterlo en su caja  minutos carga lo  suficiente,positive,e perfecto le dura mucho la carga con tan solo meterlo en su caja minutos carga lo suficiente
missing,positive,missing
we have bought  sets of these and they work great. they could be a little better for battery life but otherwise are great airpods.,positive,bought set work great could little better battery life otherwise great
the fit is good. the sound quality listening to music is outstanding,positive,fit good sound quality listening music outstanding
i always forget they are in my ear and have thought i lost them and realize that i have them or one in multiexclamation  lol,positive,always forget ear thought lost realize multiexclamation lol
my husband got me a newer iphone for my bday. im a s baby and refuse to upgrade until the last possible moment. so sad about headphone j. ck and home button however i was gifted a $ gift card from a friend and thought (why not) guaranteed i do not use them often but they are fabulous and hold a charge.,positive,husband got newer iphone bday im baby refuse upgrade last possible moment sad headphone j ck home button however gifted gift card friend thought guaranteed use often fabulous hold charge
"fits is like the st edition, so i love that they stay in my ears. the rd did not work for me. this nd edition has problems, so apple replaced one of them. while at the apple store, other people were there doing the same thing. sometimes, they cut out and i have not figured out why yet. i wish the st generation were still available as new. alas, it is apple. i love airpods, anyway.",positive,fit like st edition stay ear rd work nd edition problem replaced store people thing sometimes cut figured yet wish st generation still available new ala anyway
very happy with earbuds charged up they last a long time sound quality is excellent highly recommend,positive,happy earbuds charged last long time sound quality excellent highly recommend
"i do not know why people are say that these are fake, mine just came in yesterday and theyre % real they operate the same as the ones i had last year straight from an apple store, so if youre looking for a good price for real airpods get these!",positive,know people say fake mine came yesterday theyre real operate one last year straight store youre looking good price real get
airpods work like champs no problem whats so ever with them,positive,work like champ problem whats ever
i am satisfied with this purchase,positive,satisfied purchase
im happy with it but honestly sometimes i hear louder in one ear than the other,positive,im happy honestly sometimes hear louder ear
its an apple product so its always pretty good,positive,product always pretty good
forget buying knockoffs. but these they will last much longer and sound a lot better. the battery lasts much longer and you get what you pay for.,positive,forget buying knockoff last much longer sound lot better battery last much longer get pay
i was nervous to order these through amazon but they came in great!,positive,nervous order amazon came great
once charge lasts me a couple days.  bought for my husband and i and we really love them.  i have a daith  piercing and am still able to wear these pods.  definitely recommend,positive,charge last couple day bought husband really daith piercing still able wear pod definitely recommend
i did not like that you need a 'lighting' cable to charge it and it does not come with one.,positive,like need lighting cable charge come
the airpods have amazing sound. they do everything they are supposed to do. my only issue is that they are very uncomfortable. i should have gotten the ones with the rubber ear tips. my husband and son both do fine with them and have no complaintsjust me.,positive,amazing sound everything supposed issue uncomfortable gotten one rubber ear tip husband son fine complaintsjust
i like everything,positive,like everything
estoy feliz con mi airpods! buen sonido.,positive,estoy feliz con mi buen sonido
missing,positive,missing
these pods are so convenient for quick hands-free talking.,positive,pod convenient quick handsfree talking
"long lasting battery in both the ear pods and the charger.  very easy to use, connects to your phone on its own.",positive,long lasting battery ear pod charger easy use connects phone
work and music,positive,work music
love these. sound quality is great. easy to use controls. charge last a very long time. much better to splurge for these instead of buying cheaper off brand versions that do not work as well.,positive,sound quality great easy use control charge last long time much better splurge instead buying cheaper brand version work well
"i got them for zoom meetings but i also use them when vacuuming, gardening etc.sing my little heart out! i love that you can be  feet or so away from your iphone and comes in clear as a bell!",positive,got zoom meeting also use vacuuming gardening etcsing little heart foot away iphone come clear bell
arrived quick and overall worth the money,positive,arrived quick overall worth money
"easy to setup and easy to use, although i have to warn anyone buying this without owning an iphone should look elsewhere, it works as regular bluetooth earbuds but youre missing on basically every feature if you use them like that, and yes it sucks on windows. sounds good for most people, although it sounds better when you use headphone accommodations by going into settings>accessibility>audio/visual>headphone accommodations and then choose which one you prefer. it lasts about  hours on one charge, shorter if youre on a call.speaking of calls, you can talk on the phone with these in your ears, works great but be mindful that these are bluetooth earbuds at the end of the day, mic quality will never be as good as something wired such as the lightning headphones you can use instead.",positive,easy setup easy use although warn anyone buying without owning iphone look elsewhere work regular bluetooth earbuds youre missing basically every feature use like yes suck window sound good people although sound better use headphone accommodation going settingsaccessibilityaudiovisualheadphone accommodation choose prefer last hour charge shorter youre callspeaking call talk phone ear work great mindful bluetooth earbuds end day mic quality never good something wired lightning headphone use instead
missing,positive,missing
                    the media could not be loaded.                ,positive,medium could loaded
its awesome this is my first pair ever and the only thing is if you cant have the engraving on it then why would you make it an option. i wanted  engraved on it and it came plain.,positive,awesome first pair ever thing cant engraving would make option wanted engraved came plain
excelente,positive,excelente
bought them for myself. i found them uncomfortable and gave them to my son. he loves them.,positive,bought found uncomfortable gave son love
"everything was great! the new hand free great, only thing could be better is to incorporate a equalizer software for base.",positive,everything great new hand free great thing could better incorporate equalizer software base
la rapidez en que llego el equipo y la calidad del equipo,positive,la rapidez en que llego el equipo la calidad del equipo
missing,positive,missing
these are great came in sealed box that are nd generation.  there is a case wireless pair as well for  bucks more which i think people are confusing with these.  very happy with my purchase,positive,great came sealed box nd generation case wireless pair well buck think people confusing happy purchase
only one problem. when i walk pass my sons iphone it connects to his phone. other than that very satisfied!,positive,problem walk pas son iphone connects phone satisfied
i love my airpods,positive,
definitely worth it in my opinion. they do not stick in my ears very well during exercise. it is taking some adjustment to get the touch features right. but i love the audio quality.,positive,definitely worth opinion stick ear well exercise taking adjustment get touch feature audio quality
novice mom usage. works great for me. lol,positive,novice mom usage work great lol
i used to own the airpod pros but they made my inner ears itch. these are much better.,positive,used airpod pro made inner ear itch much better
i got it thank you for helping me,positive,got thank helping
love the second generation earbud really nice. the ear bud answer calls for you without you even to have your phone out you can send a text message.  all you do is just talk through your pod but no cell phone is needed and i will love it,positive,second generation earbud really nice ear bud answer call without even phone send text message talk pod cell phone needed
"yeah, my experience has been beyond great. delivered same day and it is original.  they work super",positive,yeah experience beyond great delivered day original work super
good,positive,good
these are the original ones and are just perfect.,positive,original one perfect
i love the sound and the battery life but not so much the noise cancellation. maybe ill upgrade later. great value,positive,sound battery life much noise cancellation maybe ill upgrade later great value
muy buenos la verdad me encantan su calidad  multiexclamation ,positive,muy buenos la verdad encantan su calidad multiexclamation
missing,positive,missing
i was very pleased with these airpods and would recommend them to my family and friends.,positive,pleased would recommend family friend
"these are genuine apple airpods, no look-a-likes here! came with a fully charged airpods and the case had % charge left. just lifted the lid and they synced immediately. great purchase!",positive,genuine lookalikes came fully charged case charge lifted lid synced immediately great purchase
best original thing %. especially for $ discount,positive,best original thing especially discount
absolutely love them! do not have to hold hands to head or have conversations on speaker,positive,absolutely hold hand head conversation speaker
airpods are really good,positive,really good
bought them for my daughter who needed them for work.  she loves them!,positive,bought daughter needed work love
would highly recommend.,positive,would highly recommend
i like it and highly recommend it.,positive,like highly recommend
i love the fit and its just like the wired ones that come with the phone. its not canceling out much noise but its not bad.,positive,fit like wired one come phone canceling much noise bad
"happy to announce that apple airpods are indeed waterproof! tried and tested in the washer/dryer - not once, but thrice.",positive,happy announce indeed waterproof tried tested washerdryer thrice
"absolutely love the airpods! wish i had purchased these much sooner. great sound quality and noise reduction. super easy to use and set up. makes walking, running or any exercise activity so much more enjoyable.",positive,absolutely wish purchased much sooner great sound quality noise reduction super easy use set make walking running exercise activity much enjoyable
good and original,positive,good original
good quality,positive,good quality
great headphones,positive,great headphone
the box wasnt destroyed. easy connection process. battery life last a long time,positive,box wasnt destroyed easy connection process battery life last long time
apple products typically work well. easy to connect and good sound!  for $ theres not much better,positive,product typically work well easy connect good sound there much better
if these airpods are fake then they must be the best fake i have ever seen. for like $ it was worth it,positive,fake must best fake ever seen like worth
liked charging feature; personal use,positive,liked charging feature personal use
good,positive,good
"if you love listening to music or podcasts, theres no doubt, you need a pair of airpods in your life. mine have been working perfectly for a long time now.",positive,listening music podcasts there doubt need pair life mine working perfectly long time
like them,positive,like
purchased these when on sale for ($.).it meets and exceeds my expectations.,positive,purchased sale meet exceeds expectation
"cheaper then what apple sells them right now, yes they are real airpods lol (i have the airpods in thats why they arent in the picture)",positive,cheaper sell yes real lol thats arent picture
buena calidad como casi todos los productos de apple,positive,buena calidad como casi todos los productos de
missing,positive,missing
got these used. condition was basically brand new but the right airpod stopped charging a few days in. took it to the apple store to get it fixed and they replaced the airpod for free because the person i bought it from had a -year warranty on it. now i have a new set of airpods for $ so id say that its pretty good ngl.,positive,got used condition basically brand new airpod stopped charging day took store get fixed replaced airpod free person bought year warranty new set id say pretty good ngl
these do a great job with sound.  i like the ease of wearing them.  not really a noise canceling airpod.,positive,great job sound like ease wearing really noise canceling airpod
everything,positive,everything
exactly what i expected,positive,exactly expected
love apple products. shipping is great,positive,product shipping great
works great. wonderful fathers day gift.,positive,work great wonderful father day gift
i like them. they have good sound and automatically connect when opening the case. the battery last a while.,positive,like good sound automatically connect opening case battery last
"el producto es bueno, no se demoraron en llegar,",positive,el producto e bueno se demoraron en llegar
missing,positive,missing
missing,positive,missing
                    the media could not be loaded.                ,positive,medium could loaded
it works welll u might have some trouble connecting but they work and are in very good condition they come with the regular charger with no bottom this didnt come fully charged but it works,positive,work welll u might trouble connecting work good condition come regular charger bottom didnt come fully charged work
these earphone are great for small ear. tried several other these do not fall out.,positive,earphone great small ear tried several fall
i really love them,positive,really
todo bien,positive,todo bien
missing,positive,missing
great product,positive,great product
great,positive,great
"i have never gotten anything like this, i was really exited to find this on a discount. i was a little skeptical since i have never gotten them and was scared of getting scammed especially on an apple product. i got it and i was immediately happy with my decision. they work amazing and the sound quality is great. % recommend, amazing for the amount of money its worth.",positive,never gotten anything like really exited find discount little skeptical since never gotten scared getting scammed especially product got immediately happy decision work amazing sound quality great recommend amazing amount money worth
all perfect,positive,perfect
"great quality, good price.",positive,great quality good price
best apple device i have purchased since the first ipods.  no buyers remorse at all here!,positive,best device purchased since first ipod buyer remorse
"guys this nd gen airpods sounds better than the airpods pro i have. trust me.  i bought this for my sister and i was impressed by the sound compared to my airpods pro. do not pay extra, just get this.",positive,guy nd gen sound better pro trust bought sister impressed sound compared pro pay extra get
"excelente sonido, buena duracin vida batera",positive,excelente sonido buena duracin vida batera
missing,positive,missing
"some random glitching, like a scratched cd but only has happened a few times and resolved itself quickly after just a few seconds. other than those few times they have worked well, battery life is good and fit nicely",positive,random glitching like scratched cd happened time resolved quickly second time worked well battery life good fit nicely
"fits perfectly, nice sound quality.",positive,fit perfectly nice sound quality
"although not recommended, my airpods went through the washer and the dryer, and still work just as well. i thought i lost it, and was trying to use the find my app to find it, witch did not work for it was out of battery, but then found it in the dryer after a full cycle in the washer and dryer. thought they would not work, but then tried them an they are good as new, and also very clean!",positive,although recommended went washer dryer still work well thought lost trying use find app find witch work battery found dryer full cycle washer dryer thought would work tried good new also clean
"i have owned a decent pair of wireless earbuds to use with my iphone for years.  they were great, had a great battery life, and could be used one at a time.  i could not, however, use them when making a call; the recipient could not hear my conversation.bonus with airpods that i did not realize: there is a lot of built in apple functionality that does not work with non-apple ear buds. when you wear the ear buds, you receive audio announcements for texts and other app notifications.  i was not aware of that!",positive,owned decent pair wireless earbuds use iphone year great great battery life could used time could however use making call recipient could hear conversationbonus realize lot built functionality work nonapple ear bud wear ear bud receive audio announcement text app notification aware
i brought them some time ago and they work great. best buy i could of did,positive,brought time ago work great best buy could
maaaannn these pods bussin  multiexclamation ,positive,maaaannn pod bussin multiexclamation
worked well for a long time,positive,worked well long time
hello,positive,hello
the airpods a great but they have a short battery life,positive,great short battery life
"these airpods really surprised me. i was expecting the battery to not be that good or for them to not be the greatest or used, but i was completely wrong. the charging case charges so fast and so to the airpods. the battery lasts for so long, and the sound quality is great. one of my favorite buys.",positive,really surprised expecting battery good greatest used completely wrong charging case charge fast battery last long sound quality great favorite buy
"honestly these airpods last so long and they sound amazing. never had a problem with them. unfortunately i lost one, but thats not even an apple problem. ig it gives me an excuse to buy new ones.",positive,honestly last long sound amazing never problem unfortunately lost thats even problem ig give excuse buy new one
i am please with these airpods. thank you.,positive,please thank
"i use these almost every day when i am out walking the dog or at the gym or shopping my myself. they are not noise cancelling but i do not want that for my purposes. the sound quality is excellent. i use these for both music and audiobooks, hearing both highs and lows in sound. this is the second pair of these i have had. the first set stopped working after frequent use for  years but i liked them enough to get another set.",positive,use almost every day walking dog gym shopping noise cancelling want purpose sound quality excellent use music audiobooks hearing high low sound second pair first set stopped working frequent use year liked enough get another set
i understand why people pay more for the actual apple devices now. they are way better than the knockoffs. more comfortable. a snap to pair with apple devices. they know when you put them in and take them out. ill always use the real dea going forward.,positive,understand people pay actual device way better knockoff comfortable snap pair device know put take ill always use real dea going forward
really nice battery life,positive,really nice battery life
"en conjunto, excelente multiexclamation ",positive,en conjunto excelente multiexclamation
missing,positive,missing
happy with product,positive,happy product
i love the airpods pro do yourself a favor look on youtube to find out how to get them out of the case will save you a lot of aggravation. its really simple.,positive,pro favor look youtube find get case save lot aggravation really simple
that theyre great and work like they say theyre going to,positive,theyre great work like say theyre going
the sound is good but could be much better. theyre nice and worth the $,positive,sound good could much better theyre nice worth
i really like this airpods.,positive,really like
nd generation is bestmuch better than rd generation and airpods pro  low price and high quality best earphone ever,positive,nd generation bestmuch better rd generation pro low price high quality best earphone ever
love how they fit!sound quality great!,positive,fitsound quality great
i was totally against buying this in the beginning but my daughter said you will like them. i bought them and she was right i absolutely love them,positive,totally buying beginning daughter said like bought absolutely
fast delivery and great products i would definitely recommend.,positive,fast delivery great product would definitely recommend
to listen to music on my phone,positive,listen music phone
missing,positive,missing
                    the media could not be loaded.                ,positive,medium could loaded
love them. work well came in normal apple packaging. had these for awhile now and still look and work like theyre brand new. case fits well i love these ,positive,work well came normal packaging awhile still look work like theyre brand new case fit well
havent had any issues as of yet,positive,havent issue yet
"really loved my airpods until i lost them.  too pricey to replace, but they were awesome pods.",positive,really loved lost pricey replace awesome pod
"bought them because they were on sale, and ive been wanting a pair for a long time. no complaints as of yet but ive also not had them for more than  minutes, a little annoyed they didnt come bubble wrapped or anything but thats about it.",positive,bought sale ive wanting pair long time complaint yet ive also minute little annoyed didnt come bubble wrapped anything thats
"i waited a long, long time before buying apple ear pods. i have used skull candy, soundpeats, and a host of others. they all have their little quirks and variations. the apple ones do as well, but not nearly as many. overall, the quality of these is awesome. the sound is great, it allows for pass through sound so i can listen to music and still hear whats going on around me, and the charge lasts for several hours.the downside(s). first, my ears do not necessarily fit these (or the wired ones that always came with the iphones), so i have to adjust and push these in every once in a while. i know thats why they came out with the pro ones with the plastic ear bud. those will be the next pair i get. secondly, live listen works great, with one caveat. i would have imagined that the mic used would have been the mics on the ear buds themselves. nope. it uses your phone mic. so, if you put your phone in your pocket and have live listen on, you hear the phone shuffling around in your pocket. in other words, you have to leave your phone out (laying on your desk, holding it in your hand, etc.) in order to use it with any success. maybe that changes on other models, but for these, it makes the live listen almost pointless. i want to be hands free, with my phone in my pocket, but be able to hear someone if they talk to me. not sure what else the concept would have been used for in using the phone mic.other than those issues, i really have no complaints. the case charges the pods quickly and multiple times, so you can continue to use them for a long time. again, sound quality is as good, if not better, than any other ear buds ive used. you can set what the functions are, so tapping the right ear twice can mean whatever you want versus tapping the left ear twice.i am really pleased with these and would recommend them.",positive,waited long long time buying ear pod used skull candy soundpeats host others little quirk variation one well nearly many overall quality awesome sound great allows pas sound listen music still hear whats going around charge last several hoursthe downside first ear necessarily fit wired one always came iphones adjust push every know thats came pro one plastic ear bud next pair get secondly live listen work great caveat would imagined mic used would mics ear bud nope us phone mic put phone pocket live listen hear phone shuffling around pocket word leave phone laying desk holding hand etc order use success maybe change model make live listen almost pointless want hand free phone pocket able hear someone talk sure else concept would used using phone micother issue really complaint case charge pod quickly multiple time continue use long time sound quality good better ear bud ive used set function tapping ear twice mean whatever want versus tapping ear twicei really pleased would recommend
"i waited for a sale to buy and try airpods. i am pleasantly surprised at how well they stay in my ears on my walks. the corded apple headphones always fell out because something yanked on the cord. i am happy enough with my purchase i""m going to buy another set when they go on sale again.",positive,waited sale buy try pleasantly surprised well stay ear walk corded headphone always fell something yanked cord happy enough purchase im going buy another set go sale
they work perfectly,positive,work perfectly
i would purchase again and easy to use,positive,would purchase easy use
"the best design ever for an airpods and i think its a big mistake from apple to change the design ,,waiting until they get it back in a newer generation",positive,best design ever think big mistake change design waiting get back newer generation
everything is lovely! i have no complaints other than it doesnt block much sound.,positive,everything lovely complaint doesnt block much sound
nothing,positive,nothing
i like them and if you are looking to get airpods but do not want to spend that $ on a pair just get theses. they are fine and they last a while if you use them right :),positive,like looking get want spend pair get thesis fine last use
"you really cannot compare ear buds by trying them on. did i need to spend $ for the airpods? i did not want to risk buying a pair of jbl on sale for half the price, then wonder if the airpods would have been better. the airpods compliment my new iphone  nicely. to me, the sound is perfect. no need to add bass or eq it. very satisfied with my purchase. i cannot swear to the noise cancellation or battery life yet, too new.",positive,really compare ear bud trying need spend want risk buying pair jbl sale half price wonder would better compliment new iphone nicely sound perfect need add bass eq satisfied purchase swear noise cancellation battery life yet new
"works well, charges fast",positive,work well charge fast
perfect,positive,perfect
"easy connectivity, long battery life, excellent sound",positive,easy connectivity long battery life excellent sound
item was as expected. delivered on time and my daughter loves them!,positive,item expected delivered time daughter love
i wear these  when im cutting the lawn or working in the yard. they do not fall out and its unbelievable the noise cancellation. i do not hear anything around me.,positive,wear im cutting lawn working yard fall unbelievable noise cancellation hear anything around
good price and genuine.,positive,good price genuine
this was a great purchase,positive,great purchase
with price factored in i think they are a better bang for your buck than the pro is,positive,price factored think better bang buck pro
"everyone whose anyone has a pair of these! the fit perfectly and they are so easy to use. i love how i can take one earpiece out and listen with just one. i have not mastered using them while on a phone call but i am sure i will at some point. i had a pair of sony earbuds that were bigger and not as high quality as these are, never again will i buy a sony product. these fit in my ear perfectly and i hardly notice they are in my ear so that is good. i love them! i am finally cool!",positive,everyone whose anyone pair fit perfectly easy use take earpiece listen mastered using phone call sure point pair sony earbuds bigger high quality never buy sony product fit ear perfectly hardly notice ear good finally cool
"the airpods pro would not stay in my ear. these fit perfectly and still sound amazing. i do miss the noise cancellation though. they seamlessly switch between my iphone, macbook, and apple tv.",positive,pro would stay ear fit perfectly still sound amazing miss noise cancellation though seamlessly switch iphone macbook tv
i do not know what took me so long to buy these but they are perfect for me. they never fall out will im running or exercising or working in the yard. i love them.,positive,know took long buy perfect never fall im running exercising working yard
"i like the easy connection, the sound quality, noise reduction, and the long battery life.",positive,like easy connection sound quality noise reduction long battery life
they slip out from time to time,positive,slip time time
"theres a reason why quality costs more, it took me a while to discover that.go for quality first time instead of doing cheap x  times.i bought this item and have had no complaints since. i recommend it, %",positive,there reason quality cost took discover thatgo quality first time instead cheap x timesi bought item complaint since recommend
"so nice not to have to deal with wires. good quality and great sound , not that i expect anything different from apple.",positive,nice deal wire good quality great sound expect anything different
great product for working out,positive,great product working
"these are comfortable to use, even fell asleep with them in",positive,comfortable use even fell asleep
they work the way they are intended to,positive,work way intended
love this product!,positive,product
apple do the best in thouse thinks. very good sound and blocks external noises,positive,best thouse think good sound block external noise
got them for my mom she loved them!,positive,got mom loved
funciona muy bien. ningun problema,positive,funciona muy bien ningun problema
missing,positive,missing
"everything about these are awesome. sound quality is perfect, durability fantastic, noise cancellation is spot on and battery life is dope. stays charged for a whole day and only takes about - minutes to charge up fully i love my airpods multiexclamation ",positive,everything awesome sound quality perfect durability fantastic noise cancellation spot battery life dope stay charged whole day take minute charge fully multiexclamation
"its going on a year since i bought these, and they still hanging on good. only thing i would say is that the right airpod keeps going out, but all you have to do is like clean it out and its back loud again.",positive,going year since bought still hanging good thing would say airpod keep going like clean back loud
"great sound, fits perfectly snug in the ear canal.",positive,great sound fit perfectly snug ear canal
they look brand new  multiexclamation  looks good,positive,look brand new multiexclamation look good
one of the best bluetooth ear phones,positive,best bluetooth ear phone
arrived on time.  packaged as described.  works as advertised. no complaints this far.,positive,arrived time packaged described work advertised complaint far
"% originales, calidad de apple",positive,originales calidad de
missing,positive,missing
"absolutely awesome sound quality.  wow!  im amazed, i had no idea what i was missing multiexclamation ",positive,absolutely awesome sound quality wow im amazed idea missing multiexclamation
"amazing sound quality, easy connection, and fast shipping.",positive,amazing sound quality easy connection fast shipping
this product was exactly what i expected.  high quality and worked perfectly right out of the box.,positive,product exactly expected high quality worked perfectly box
works great for music,positive,work great music
old pair stopped working. this apple pods were on sale $ multistop good value,positive,old pair stopped working pod sale multistop good value
gen  works better for me than gen .  much more comfortable. these have been great,positive,gen work better gen much comfortable great
case is a little cheap but if you buy a cover for it its not to bad,positive,case little cheap buy cover bad
i love them. i use them everyday.,positive,use everyday
long lasting battery good noise and charging case also can fully charge them multiple times,positive,long lasting battery good noise charging case also fully charge multiple time
"i had third generation but i was not happy with that, because it didfit me well then i go back with nd generation and it fits very well to my ear ans so comfertable",positive,third generation happy didfit well go back nd generation fit well ear an comfertable
they came perfectly. sealed package. great quality and just like getting them from the apple store.,positive,came perfectly sealed package great quality like getting store
good,positive,good
just what i was looking for,positive,looking
returned due to case discharging several % points in a few minutes and that it is not a fit for needs. did not have it long enough to know with more certainty but did not want to get stuck if it had more issues too soon. going to try another kind at some point. airpods are nice - package was great. shipped/sold by amazon who have a assured me when getting an ipad from them that apple products still have their warranty. airpods are awesome for the right people when the work properly. i am in the midst of the return and will update in this review exactly how long it took. they said they applied the refund to gift card today. this was a gift.,positive,returned due case discharging several point minute fit need long enough know certainty want get stuck issue soon going try another kind point nice package great shippedsold amazon assured getting ipad product still warranty awesome people work properly midst return update review exactly long took said applied refund gift card today gift
these apple pods are great multiexclamation  have great sound,positive,pod great multiexclamation great sound
i like these airpods the sound is amazing and the charge very fast no regrets,positive,like sound amazing charge fast regret
it didnt disappoint.,positive,didnt disappoint
very door,positive,door
me encantan muy buenos,positive,encantan muy buenos
missing,positive,missing
bought for my daughter and she loves them.,positive,bought daughter love
they are what i was expecting.,positive,expecting
"no problems, seem just like the normal ones from apple",positive,problem seem like normal one
lindos,positive,lindos
"there are a rally good product they stay charge for about  days, fit in your ears very well, but they do not have noise canceling at all! but other wise very good!",positive,rally good product stay charge day fit ear well noise canceling wise good
recommend these to anyone.,positive,recommend anyone
the quality of sound is good. the battery life seems decent. the amazing thing is i dropped one of my earpods in the pool for  hrs multistop and it still works multiexclamation  amazing. i did not realize it is waterproof. lol,positive,quality sound good battery life seems decent amazing thing dropped earpods pool hr multistop still work multiexclamation amazing realize waterproof lol
wish i had purchased these ages ago. they are wonderful. i like how they stay charged and read my texts to me when im working. excellent!,positive,wish purchased age ago wonderful like stay charged read text im working excellent
the sound is good and cancels out noises!,positive,sound good cancel noise
have enjoyed them so far. good quality.,positive,enjoyed far good quality
very good  but they cannot adjust to fit my ears. they fall out  easily. the best advice i have found is to use a sweat band.  also the case has rounded edges and can not stand up.,positive,good adjust fit ear fall easily best advice found use sweat band also case rounded edge stand
i use to have the regular ear phones that came with the iphone. i made this purchase and now i do not have to worry about the the cord.,positive,use regular ear phone came iphone made purchase worry cord
my daughter wanted to splurge on these after going through quite a few cheap off-brands. great quality and comfort so far. we managed to buy them on sale and she loves them. i do not care that i have to yell more to get her attention. ,positive,daughter wanted splurge going quite cheap offbrands great quality comfort far managed buy sale love care yell get attention
todo muy bueno,positive,todo muy bueno
missing,positive,missing
"i absolutely love them and i got an amazing discount on them too, i definitely recommend them!",positive,absolutely got amazing discount definitely recommend
after about a year or two the sound went out but they worked good! do not be like me and blast music for hours at a time and it will probably last longer lol,positive,year two sound went worked good like blast music hour time probably last longer lol
great product at a great price. typical apple product,positive,great product great price typical product
"works well, easy to use, good purchase",positive,work well easy use good purchase
absolutely love it multiexclamation ,positive,absolutely multiexclamation
"love everything about these airpods dk hh it took me so long to order them. do not hesitate just buy them, so worth it multiexclamation ",positive,everything dk hh took long order hesitate buy worth multiexclamation
this is my second pair because i had lost my first set.,positive,second pair lost first set
i love it multiexclamation ,positive,multiexclamation
just got these for my daughter. she loves them. the fit well in her ear and the sound is great.,positive,got daughter love fit well ear sound great
"i would been on the fence about airpods for so long. how could they possibly be worth it, right? they are. earbuds with the little rubber attachments really hurt my ears after longer than a few minutes, and tend to make my ears itch. these are much more comfortable, and the best part is they stay put. i tend to fall asleep listening to audiobooks and have never once had to go searching for an earbud when i wake up. not only do they stay in my ear, but i am in no discomfort for having slept on one for several hours. love them!",positive,would fence long could possibly worth earbuds little rubber attachment really hurt ear longer minute tend make ear itch much comfortable best part stay put tend fall asleep listening audiobooks never go searching earbud wake stay ear discomfort slept several hour
